tmpl;count
"дызэры*рэ";"866"
"къы*кIари";"865"
"къэтэджы*";"863"
"зэ*щIынур";"862"
"хьэ*хэмрэ";"862"
"псалъэма*";"861"
"къыщI*ари";"860"
"*ыгъэмкIэ";"860"
"*гъэувэну";"856"
"къиIуэтэ*";"854"
"къащ*къым";"853"
"къызжиIэ*";"852"
"зэры*ымрэ";"850"
"*щIыхьауэ";"849"
"*кIуэдауэ";"848"
"зэ*хэмкIэ";"847"
"къызэхуэ*";"847"
"къы*ыжырт";"844"
"къыщыгъэ*";"841"
"зэфIагъэ*";"836"
"*пIэхэмрэ";"836"
"къы*хъуэу";"836"
"нэхъыщIэ*";"835"
"*пщIакъым";"835"
"зэры*хьэу";"833"
"къагъэлъ*";"833"
"къыжьэхэ*";"832"
"*мылъхьэу";"831"
"*гъапцIэу";"827"
"дыкъы*ауэ";"827"
"зэры*щIэр";"826"
"*щIэкIыну";"824"
"къытримы*";"823"
"къызыщIэ*";"823"
"къы*хьэрэ";"821"
"къы*кIуэр";"820"
"къызэ*хар";"819"
"дызэры*ар";"819"
"къызыхуи*";"819"
"зыхуэгъэ*";"817"
"и*атэкъым";"814"
"*щIынкъым";"812"
"*хьэзыращ";"811"
"зэхуихьэ*";"810"
"зэры*лъыр";"805"
"къэз*къым";"804"
"къэ*хэмрэ";"804"
"бгъэ*къым";"801"
"хэ*тэкъым";"801"
"иригъэхь*";"798"
"къицIыху*";"798"
"къы*хьащи";"798"
"*лъхьэурэ";"798"
"*утIыпщыж";"796"
"*хьэзырын";"792"
"ирагъэлъ*";"792"
"зыхузэфI*";"792"
"*пщкIуауэ";"790"
"къимы*ауэ";"790"
"къыщы*эну";"789"
"къыдэ*хэм";"789"
"къызэра*у";"789"
"ягъэтIыс*";"788"
"къыщIимы*";"786"
"къы*плъэу";"785"
"*лъагъурт";"784"
"къызэриу*";"783"
"срихьэлI*";"782"
"къилъагъ*";"780"
"зэригъэ*у";"780"
"къы*хьэжу";"779"
"*гъэсэбэп";"779"
"зэрагъэ*у";"777"
"къыщылъэ*";"777"
"къупщхьэ*";"777"
"*щIэфынур";"774"
"къаутIып*";"774"
"сы*ынкъым";"773"
"къэ*эжыну";"772"
"ирамыгъэ*";"772"
"зэщIэгъэ*";"772"
"къыт*хьащ";"772"
"*щIэращIэ";"770"
"къы*хьами";"769"
"зэбгрыкI*";"768"
"зытезгъэ*";"765"
"*кIуэкIым";"764"
"*тIысхьэж";"764"
"*лъагъуэм";"761"
"щызэхуэс*";"761"
"зэрытемы*";"759"
"зэрыщI*ам";"759"
"*щIэкIауэ";"758"
"къэ*укъым";"758"
"*плъыхьащ";"757"
"тхуэ*къым";"757"
"*эгъуахэр";"754"
"*кIуатэри";"753"
"къагъэзэ*";"753"
"къалъытэ*";"753"
"къыпэщIэ*";"753"
"ныбжьыщI*";"753"
"къу*хэмрэ";"752"
"*лъхьэным";"752"
"къызы*хэр";"752"
"лъагапIэ*";"752"
"зэребгъэ*";"750"
"зэрыщы*ам";"749"
"щIыналъэ*";"749"
"зэрыхэмы*";"748"
"*кIуэхэми";"748"
"зэры*хьыр";"747"
"*хьэжынущ";"746"
"гъэтIылъ*";"743"
"*лъыхъуэр";"739"
"щхьэ*къым";"736"
"къызэ*ати";"736"
"зэры*эжым";"736"
"*эгъуахэм";"735"
"къыхуи*ащ";"735"
"*гъэгъуну";"734"
"къызэ*там";"732"
"къыщи*кIэ";"732"
"къысIэры*";"732"
"щекIуэкI*";"730"
"къагъэщI*";"729"
"зэры*хьэм";"726"
"зэры*щIыр";"726"
"къы*кIыжу";"725"
"*гъэшхуэр";"725"
"къыдэлъэ*";"724"
"къыщIи*ащ";"717"
"зэры*гъэр";"715"
"*хьэзырри";"715"
"сыкъи*ауэ";"714"
"къыщыкIу*";"714"
"*шхуитIыр";"712"
"*лъхьэжын";"712"
"зэрыри*ар";"711"
"сы*ащэрэт";"709"
"*кIуэдыну";"708"
"къыхуимы*";"706"
"къыщыхуа*";"705"
"*кIуэкIыр";"704"
"зримыгъэ*";"703"
"къэпсэлъ*";"703"
"дыкъагъэ*";"703"
"щызэрихь*";"701"
"*лъэгъуат";"701"
"*кIуэкIыу";"701"
"къысхуэн*";"700"
"*дыгъуауэ";"700"
"ящыгъупщ*";"698"
"зыужьыны*";"697"
"*гъэцIыху";"697"
"дызэрыщI*";"697"
"*щIыкIауэ";"696"
"*гъэджэну";"693"
"хуэзыгъэ*";"691"
"*хъункъым";"690"
"дыхьэшхы*";"690"
"къы*хъуам";"690"
"къэзгъэ*у";"688"
"*гъэзэжын";"687"
"текIуэны*";"686"
"къыжьэди*";"686"
"къыщыкъу*";"686"
"къы*Iуатэ";"684"
"*эжыхукIэ";"684"
"къы*нэнур";"684"
"къыхуащI*";"682"
"сыкъэплъ*";"681"
"къигъэ*ат";"678"
"*лъэдэжри";"678"
"къэмыкIу*";"677"
"цIыхухъу*";"676"
"зэры*хьэр";"676"
"*псалъэри";"676"
"къытIэры*";"675"
"ирихьэжь*";"675"
"*рихьэлIа";"674"
"*Iуэтэжащ";"674"
"къиубыды*";"673"
"зэрызы*ар";"672"
"къыщы*ами";"672"
"сыте*къым";"672"
"къыIэщIа*";"670"
"телъыджэ*";"670"
"*кIуэнкIэ";"670"
"къы*кIыжа";"669"
"купщIафI*";"669"
"зэры*хьым";"668"
"сыкъэ*ауэ";"668"
"*мылъагъу";"667"
"къы*дзэри";"667"
"кIуэдыжы*";"666"
"*гъуэтауэ";"665"
"*плъакъым";"664"
"*гъэкIуэн";"663"
"*гъащIэри";"662"
"*гъэкIыжу";"662"
"къагъэ*ри";"660"
"зэхэзэры*";"660"
"къы*хынур";"659"
"*шхуитIым";"658"
"къызэ*хыу";"658"
"къемыхъу*";"658"
"зэрызэдэ*";"656"
"*гъэкIуащ";"655"
"*гъуэхэри";"654"
"цIыхубзы*";"654"
"*хьэлIэну";"652"
"*хъуапсэу";"652"
"зэкIэщIэ*";"650"
"*лъхьэнущ";"649"
"хэкIуэдэ*";"649"
"къулейсы*";"648"
"нэщхъыфI*";"648"
"*гъуитIым";"643"
"урихьэлI*";"642"
"кIуэ*къым";"642"
"*гъэзэжащ";"642"
"хэплъыхь*";"637"
"*щIэгъуэн";"636"
"дызэры*ам";"635"
"къыдэплъ*";"635"
"къыпщхьэ*";"634"
"къы*гъауэ";"634"
"къыплъыс*";"633"
"зэрызехь*";"632"
"урысыбзэ*";"632"
"*шхуэмкIэ";"630"
"*хатэкъым";"627"
"зыгъэкIу*";"627"
"иутIыпщы*";"627"
"зэры*щIым";"624"
"къэс*къым";"623"
"*щIэнкъым";"623"
"*кIуэкIын";"621"
"щIегъуэж*";"621"
"*гъэхьэри";"618"
"*гъэкIуар";"616"
"дыщы*къым";"616"
"*гъащIэрт";"615"
"къагъуэт*";"615"
"къащыхъу*";"612"
"къыщыхуи*";"612"
"къакIэры*";"611"
"*эжтэкъым";"611"
"зы*гъащIэ";"611"
"*гурыIуэн";"608"
"*пхъуэтащ";"608"
"къысхуэф*";"607"
"*гъэплъащ";"603"
"гугъуехь*";"601"
"икIуэтыж*";"601"
"къегъэ*ри";"601"
"къы*увэри";"599"
"*хьынкъым";"599"
"зэдэлэжь*";"596"
"зэфIэувэ*";"593"
"зэхуахьэ*";"592"
"къахуищI*";"592"
"къыщы*хэр";"591"
"къэзылъы*";"591"
"зэры*лъым";"589"
"адыгэбзэ*";"587"
"къытелъэ*";"585"
"къысхудэ*";"584"
"къемыкIу*";"583"
"дызэкъуэ*";"583"
"я*атэкъым";"580"
"къэкIуэн*";"580"
"*лъхьэныр";"579"
"къы*кIуащ";"578"
"къыдихьэ*";"577"
"къэгъэщI*";"576"
"къытри*ащ";"576"
"сыкъыщIи*";"574"
"къызэ*кIа";"574"
"*хьэкIыну";"573"
"*гъэпщкIу";"572"
"*гъэзащIэ";"571"
"къы*щIэмэ";"568"
"зэрыщы*рэ";"567"
"къыздикI*";"567"
"щIэзыгъэ*";"566"
"къы*хыжри";"566"
"*хъуркъым";"565"
"къытрихь*";"564"
"еплъыкIэ*";"564"
"*гъуэшхуэ";"564"
"къы*дзауэ";"562"
"зэрыщы*эм";"560"
"къыхуихь*";"558"
"зрагъэщI*";"557"
"*гъэзэжмэ";"557"
"Iэуэлъау*";"556"
"*нэжакъым";"555"
"*лъагъужу";"555"
"къэгубжь*";"554"
"къытехъу*";"553"
"еплъ*къым";"551"
"къыщекIу*";"550"
"щIэтлъхь*";"549"
"къы*хьамэ";"548"
"*кIуэжынщ";"548"
"къызэре*у";"548"
"*Iэпыкъуу";"547"
"щхьэукъу*";"547"
"*гъэгугъэ";"546"
"зыхи*къым";"544"
"къыщалъы*";"543"
"къы*кIуэм";"543"
"къызы*кIа";"543"
"*мыгъуэту";"542"
"къы*хыурэ";"540"
"къы*кIухь";"540"
"Къулыкъу*";"535"
"зэрекIуэ*";"534"
"*бзэрабзэ";"532"
"къыхуэ*рэ";"532"
"зыкъиIэт*";"531"
"кърилъхь*";"531"
"*гурыIуэр";"530"
"*блэгъэну";"528"
"губзыгъэ*";"528"
"къыщIи*ар";"527"
"*гъуэтынщ";"527"
"зэрыте*ар";"526"
"къы*щIами";"526"
"*хуэхъуар";"525"
"зэхалъхь*";"525"
"къызогъэ*";"525"
"къыхэплъ*";"524"
"къыдэгъэ*";"524"
"*гъэзэжри";"523"
"ирагъэ*ри";"523"
"зэры*хуар";"517"
"къытхуэн*";"514"
"зэрамыщI*";"513"
"къэзлэжь*";"513"
"*гушхуэри";"513"
"*зэрыхьащ";"513"
"*гъакIуэр";"512"
"зигъэпсэ*";"510"
"зэхилъхь*";"509"
"хуэныкъу*";"508"
"къызытри*";"508"
"*пэлъэщын";"507"
"къызэщыу*";"506"
"къыщи*ауэ";"505"
"зэщIикъу*";"505"
"щы*хьэкIэ";"504"
"*гъэлажьэ";"504"
"къэ*ымкIэ";"502"
"тригъэ*ащ";"502"
"зыгъэ*хэр";"501"
"игъэзэщI*";"501"
"къыкъуэу*";"500"
"зэкIэщIи*";"500"
"*убгъуауэ";"500"
"иригъэщI*";"499"
"*гъэпцIащ";"498"
"*лъхьэрти";"498"
"къы*лъадэ";"498"
"зэрыхэ*ар";"497"
"етIысэхы*";"497"
"дэ*тэкъым";"496"
"*цIыхуауэ";"496"
"*лъыхъуэн";"495"
"зэхэлъхь*";"494"
"*хъуапсэр";"494"
"*быдакъым";"494"
"къы*гъэщI";"492"
"къыхэ*хэм";"491"
"щызэбгры*";"491"
"*благъэри";"490"
"хъумакIу*";"488"
"фIэлIыкI*";"486"
"*гурыIуэу";"485"
"къахуэзы*";"485"
"къызигъэ*";"484"
"къепсэлъ*";"483"
"*гъуэтыжу";"480"
"къы*хыным";"479"
"зэтрикъу*";"475"
"къыхуэ*ащ";"475"
"къыхуамы*";"475"
"зэры*хуам";"471"
"*гушхуэрт";"471"
"зыхуэкIу*";"469"
"къэзгъэн*";"468"
"сыздэкIу*";"468"
"къытралъ*";"468"
"зыхуэсщI*";"467"
"къысщыщI*";"466"
"къигъэIэ*";"466"
"*хыжакъым";"463"
"*бэлэрыгъ";"461"
"*гъэтIылъ";"460"
"къэIуэтэ*";"459"
"*дэнукъым";"458"
"*лъагъунт";"458"
"иригъэ*ат";"457"
"къы*хыжащ";"457"
"*гъэщIэнщ";"457"
"*гъэувыну";"457"
"къохъулI*";"455"
"къы*кIуэн";"453"
"къы*гъэна";"453"
"кIэрахъу*";"452"
"мыкIуэщI*";"452"
"къыщы*хым";"451"
"*гъэпсэху";"449"
"къыщы*кIи";"445"
"фIэщыгъэ*";"444"
"зыхилъхь*";"444"
"зыхимыщI*";"443"
"къыди*ауэ";"439"
"гъэщIэрэ*";"439"
"*лъыхъуащ";"438"
"*гъэхъуащ";"436"
"*кIуэжауэ";"436"
"къытхыхь*";"433"
"зэра*ыным";"432"
"*дэкIуэну";"426"
"*гъэгуфIэ";"425"
"къипсэлъ*";"425"
"*гъэкIырт";"422"
"зэримы*ри";"422"
"мыхьэнэн*";"421"
"къытхуэф*";"421"
"зэхуэхъу*";"419"
"хущIэкъу*";"419"
"*хуэхъуам";"419"
"гъунэгъу*";"417"
"къыкъу*ри";"415"
"къалъхуа*";"414"
"къыще*кIэ";"413"
"хъарзынэ*";"413"
"*гурыIуащ";"409"
"*щыгугъыр";"408"
"зэгуигъэ*";"407"
"къыпщыщI*";"406"
"къыхуэщI*";"403"
"къы*кIуам";"403"
"*хуэхъуну";"402"
"къызэ*хащ";"402"
"къызыхуа*";"402"
"къыпэкIу*";"401"
"къахэхъу*";"401"
"*гъэзагъэ";"401"
"лъэдакъэ*";"400"
"къыхэпхы*";"399"
"*кIыхукIэ";"397"
"*лътэкъым";"396"
"щызэхыхь*";"393"
"къэмыхъу*";"392"
"дыкъэкIу*";"391"
"къыздихь*";"391"
"*хэракъым";"386"
"*гузавэри";"384"
"*гъуэтыжа";"383"
"къикIухь*";"382"
"зыхуэхъу*";"381"
"уэздыгъэ*";"379"
"къэблэжь*";"373"
"гъэпщкIу*";"371"
"гъуэлъыж*";"370"
"акъылыфI*";"369"
"насыпыфI*";"368"
"сыхэ*къым";"362"
"НэгъуэщI*";"361"
"*гъэгугъа";"359"
"къри*кIыу";"352"
"зэбгъуры*";"351"
"къыхэхъу*";"350"
"сыгъуэлъ*";"348"
"*гупсысын";"348"
"къы*хъури";"345"
"*хуэкIуар";"343"
"*гъуэкъым";"341"
"*хуэхъуащ";"339"
"сегупсыс*";"339"
"*гупсысыр";"339"
"*хуэкIуэм";"337"
"къыджепI*";"336"
"зэрыхэлъ*";"326"
"гъэмахуэ*";"321"
"КъэкIуэж*";"307"
"загъэпсэ*";"305"
"зэрыIыгъ*";"303"
"*унэхъуащ";"302"
"къытекIу*";"299"
"къыдэхуэ*";"287"
"къыхуахь*";"287"
"щыгъуазэ*";"282"
"къытехуэ*";"278"
"игъуэтыж*";"273"
"*агъымкIэ";"270"
"къы*гъанэ";"270"
"къы*гъуэт";"268"
"*гупсысар";"256"
"зэдэпсэу*";"220"
"щыбгъуэт*";"220"
"*гъэджэгу";"212"
"дегупсыс*";"203"
"*ужэгъуащ";"203"
"уегупсыс*";"186"
"спектакл*";"123"
"*гъунэгъу";"121"
